CNNVD,VEDAS
CNNVD-202507-072,0.1862621
CNNVD-202507-071,0.1876138
CNNVD-202507-070,0.174623
CNNVD-202507-069,0.174623
CNNVD-202507-068,0.174623
CNNVD-202507-067,0.174623
CNNVD-202507-066,0.171403
CNNVD-202507-065,0.1756945
CNNVD-202507-064,0.174623
CNNVD-202507-063,0.174623
CNNVD-202507-062,0.337315
CNNVD-202507-061,0.1741581
CNNVD-202507-060,0.1877516
CNNVD-202507-059,0.7162463
CNNVD-202507-058,0.1741495
CNNVD-202507-057,0.7162463
CNNVD-202507-056,0.1895109
CNNVD-202507-055,0.189221
CNNVD-202507-054,0.18836
CNNVD-202507-053,0.6578571
CNNVD-202507-052,0.1893329
CNNVD-202507-051,0.6578571
CNNVD-202507-050,0.7162463
CNNVD-202507-049,0.808513
CNNVD-202507-048,0.7162463
CNNVD-202507-047,0.7162463
CNNVD-202507-046,0.7162463
CNNVD-202507-045,0.7162463
CNNVD-202507-044,0.7260813
CNNVD-202507-043,0.174623
CNNVD-202507-042,0.174623
CNNVD-202507-041,0.174623
CNNVD-202507-040,0.1731986
CNNVD-202507-039,0.1757432
CNNVD-202507-038,0.2887971
CNNVD-202507-037,0.1877574
CNNVD-202507-036,0.1730561
CNNVD-202507-035,0.332047
CNNVD-202507-034,0.172947
CNNVD-202507-033,0.1860871
CNNVD-202507-032,0.1898753
CNNVD-202507-031,0.1860871
CNNVD-202507-030,0.1860871
CNNVD-202507-029,0.1876942
CNNVD-202507-028,0.1735061
CNNVD-202507-027,0.1860871
CNNVD-202507-026,0.1860871
CNNVD-202507-025,0.1860871
CNNVD-202507-024,0.1888221
CNNVD-202507-023,0.1860871
CNNVD-202507-022,0.1860871
CNNVD-202507-021,0.6578571
CNNVD-202507-020,0.1768378
CNNVD-202507-019,0.6578571
CNNVD-202507-018,0.1860871
CNNVD-202507-017,0.1713807
CNNVD-202507-016,0.1745254
CNNVD-202507-015,0.1876569
CNNVD-202507-014,0.1733057
CNNVD-202507-013,0.174623
CNNVD-202507-012,0.1696315
CNNVD-202507-011,0.1696938
CNNVD-202507-010,0.3376603
CNNVD-202507-009,0.3376603
CNNVD-202507-008,0.3322705
CNNVD-202507-007,0.1876511
CNNVD-202507-006,0.174623
CNNVD-202507-005,0.1876569
CNNVD-202507-004,0.3323936
CNNVD-202507-003,0.1861846
CNNVD-202507-002,0.2008555
CNNVD-202507-001,0.1993249
CNNVD-202506-999,0.1860411
